timestamp,sim_time_s,mission_phase,rpm,load,cooling_efficiency,cht,expected_cht,residual,engine_health_index,health_status,oil_temperature,oil_pressure,fuel_flow,vibration,fault_type
2026-09-09T09:16:42,26,CLIMB,4794,0.8,0.78,140.34,138.11,2.23,100,NORMAL,85.01,4.41,16.45,0.302,COOLING_DEGRADATION
2026-09-09T09:16:43,27,CLIMB,4991,0.8,0.76,144.57,140.68,3.89,95.5,NORMAL,86.47,4.57,17.1,0.293,COOLING_DEGRADATION
2026-09-09T09:16:43,28,CLIMB,4786,0.8,0.74,148.12,142.59,5.53,87.3,CAUTION,87.41,4.37,16.58,0.257,COOLING_DEGRADATION
2026-09-09T09:16:43,29,CLIMB,4970,0.8,0.72,149.9,144.67,5.23,88.9,CAUTION,87.76,4.5,16.99,0.25,COOLING_DEGRADATION
2026-09-09T09:16:43,30,CLIMB,4785,0.8,0.7,152.34,146.17,6.17,84.2,CAUTION,88.17,4.51,16.79,0.254,COOLING_DEGRADATION
2026-09-09T09:16:43,31,CRUISE,4570,0.6,0.68,152.88,146.49,6.39,83.1,CAUTION,88.5,4.3,15.27,0.283,COOLING_DEGRADATION
2026-09-09T09:16:43,32,CRUISE,4376,0.6,0.66,153.45,146.4,7.05,79.7,CAUTION,88.99,4.28,14.57,0.236,COOLING_DEGRADATION
2026-09-09T09:16:44,33,CRUISE,4173,0.6,0.64,153.4,145.9,7.5,77.5,CAUTION,88.93,4.2,14.08,0.269,COOLING_DEGRADATION
2026-09-09T09:16:44,34,CRUISE,3984,0.6,0.62,152.55,145.08,7.46,77.7,CAUTION,88.75,3.94,14.19,0.245,COOLING_DEGRADATION
2026-09-09T09:16:44,35,CRUISE,4166,0.6,0.6,153.1,144.7,8.39,73.0,CAUTION,88.44,3.99,14.31,0.282,COOLING_DEGRADATION
2026-09-09T09:16:44,36,CRUISE,3940,0.6,0.6,152.95,143.91,9.04,69.8,CAUTION,88.72,3.99,13.61,0.29,COOLING_DEGRADATION
2026-09-09T09:16:44,37,CRUISE,4163,0.6,0.6,152.41,143.65,8.76,71.2,CAUTION,88.36,4.16,14.17,0.254,COOLING_DEGRADATION
2026-09-09T09:16:44,38,CRUISE,3963,0.6,0.6,151.92,143.01,8.91,70.4,CAUTION,88.21,3.85,13.85,0.289,COOLING_DEGRADATION
2026-09-09T09:16:45,39,CRUISE,4149,0.6,0.6,153.28,142.81,10.48,62.6,SUSPECTED ANOMALY,88.58,4.01,14.42,0.274,COOLING_DEGRADATION
2026-09-09T09:16:45,40,CRUISE,3969,0.6,0.6,153.4,142.26,11.14,59.3,SUSPECTED ANOMALY,88.73,3.88,13.82,0.288,COOLING_DEGRADATION
2026-09-09T09:16:45,41,DESCENT,3776,0.3,0.6,152.59,140.49,12.1,54.5,ANOMALY DETECTED,87.85,3.77,11.78,0.229,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION
2026-09-09T09:16:45,42,DESCENT,3604,0.3,0.6,151.74,138.55,13.19,49.0,ANOMALY DETECTED,87.02,3.81,11.46,0.211,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION
2026-09-09T09:16:45,43,DESCENT,3412,0.3,0.6,149.03,136.42,12.61,52.0,ANOMALY DETECTED,86.85,3.49,11.59,0.234,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION
2026-09-09T09:16:45,44,DESCENT,3219,0.3,0.6,147.25,134.11,13.14,49.3,ANOMALY DETECTED,86.32,3.34,10.99,0.231,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION
2026-09-09T09:16:46,45,DESCENT,3048,0.3,0.6,144.64,131.7,12.95,50.3,ANOMALY DETECTED,85.77,3.17,10.46,0.208,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION
2026-09-09T09:16:46,46,DESCENT,2859,0.3,0.6,142.0,129.15,12.85,50.7,ANOMALY DETECTED,84.8,3.16,9.96,0.227,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION
2026-09-09T09:16:46,47,DESCENT,2665,0.3,0.6,140.62,126.46,14.16,44.2,ANOMALY DETECTED,83.53,2.86,9.69,0.256,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION
2026-09-09T09:16:46,48,DESCENT,2891,0.3,0.6,137.98,124.5,13.48,47.6,ANOMALY DETECTED,82.68,2.92,10.24,0.233,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION
2026-09-09T09:16:46,49,DESCENT,2680,0.3,0.6,136.26,122.31,13.96,45.2,ANOMALY DETECTED,82.51,2.89,9.56,0.284,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
2026-09-09T09:16:46,50,DESCENT,2869,0.3,0.6,135.74,120.72,15.02,39.9,ANOMALY DETECTED,81.59,2.98,10.1,0.323,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
2026-09-09T09:16:47,51,IDLE,2686,0.2,0.6,133.84,118.62,15.23,38.9,ANOMALY DETECTED,80.72,2.76,9.5,0.307,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
2026-09-09T09:16:47,52,IDLE,2496,0.2,0.6,132.36,116.35,16.01,34.9,ANOMALY DETECTED,80.02,2.52,9.24,0.333,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
2026-09-09T09:16:47,53,IDLE,2306,0.2,0.6,129.78,113.92,15.86,35.7,ANOMALY DETECTED,79.03,2.32,8.77,0.403,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
2026-09-09T09:16:47,54,IDLE,2092,0.2,0.6,126.51,111.32,15.19,39.0,ANOMALY DETECTED,78.15,2.4,8.22,0.407,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
2026-09-09T09:16:47,55,IDLE,1922,0.2,0.6,124.67,108.63,16.04,34.8,ANOMALY DETECTED,77.69,2.23,8.04,0.47,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
2026-09-09T09:16:47,56,IDLE,2101,0.2,0.6,122.46,106.57,15.9,35.5,ANOMALY DETECTED,76.52,2.25,8.46,0.528,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
2026-09-09T09:16:48,57,IDLE,1873,0.2,0.6,120.96,104.26,16.7,31.5,ANOMALY DETECTED,75.47,2.13,7.51,0.552,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
2026-09-09T09:16:48,58,IDLE,2099,0.2,0.6,120.01,102.63,17.38,28.1,ANOMALY DETECTED,75.41,2.36,8.45,0.554,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
2026-09-09T09:16:48,59,IDLE,1879,0.2,0.6,118.92,100.72,18.2,24.0,ANOMALY DETECTED,75.05,2.32,7.47,0.584,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
2026-09-09T09:16:48,60,IDLE,2070,0.2,0.6,117.93,99.39,18.54,22.3,ANOMALY DETECTED,74.44,2.33,8.28,0.555,COOLING_DEGRADATION+OIL_PRESSURE_DEGRADATION+VIBRATION_FAULT
